肖申克的救赎  score:9.6
 site: http://movie.douban.com/subject/1293399/

不一样的天空  score:8.6
 site: http://movie.douban.com/subject/1301617/

我们俩  score:8.6
 site: http://movie.douban.com/subject/1756073/

对她说  score:8.6
 site: http://movie.douban.com/subject/1292211/

布达佩斯之恋  score:8.6
 site: http://movie.douban.com/subject/1301106/

盲井  score:8.6
 site: http://movie.douban.com/subject/1307528/

恶童  score:8.6
 site: http://movie.douban.com/subject/1848925/

老爷车  score:8.6
 site: http://movie.douban.com/subject/3026357/

我们天上见  score:8.6
 site: http://movie.douban.com/subject/3732800/

真爱至上  score:8.5
 site: http://movie.douban.com/subject/1292401/

贫民窟的百万富翁  score:8.5
 site: http://movie.douban.com/subject/2209573/

秒速5厘米  score:8.5
 site: http://movie.douban.com/subject/2043546/

东邪西毒  score:8.5
 site: http://movie.douban.com/subject/1292328/

黑天鹅  score:8.5
 site: http://movie.douban.com/subject/1978709/

恋恋笔记本  score:8.5
 site: http://movie.douban.com/subject/1309163/

杀人回忆  score:8.5
 site: http://movie.douban.com/subject/1300299/

被解救的姜戈  score:8.5
 site: http://movie.douban.com/subject/6307447/

麦兜故事  score:8.5
 site: http://movie.douban.com/subject/1302476/

悲惨世界  score:8.5
 site: http://movie.douban.com/subject/6860160/

战争之王  score:8.5
 site: http://movie.douban.com/subject/1419936/

倩女幽魂  score:8.5
 site: http://movie.douban.com/subject/1297447/

阿飞正传  score:8.5
 site: http://movie.douban.com/subject/1305690/

终结者2  score:8.5
 site: http://movie.douban.com/subject/1291844/

偷拐抢骗  score:8.5
 site: http://movie.douban.com/subject/1301171/

加勒比海盗  score:8.5
 site: http://movie.douban.com/subject/1298070/

茜茜公主  score:8.5
 site: http://movie.douban.com/subject/1304056/

歌剧魅影  score:8.5
 site: http://movie.douban.com/subject/1291554/

遗愿清单  score:8.5
 site: http://movie.douban.com/subject/1867345/

开心家族  score:8.5
 site: http://movie.douban.com/subject/6019180/

蓝白红三部曲之蓝  score:8.5
 site: http://movie.douban.com/subject/1292048/

2001太空漫游  score:8.5
 site: http://movie.douban.com/subject/1292226/

美国X档案  score:8.5
 site: http://movie.douban.com/subject/1293527/

天水围的日与夜  score:8.5
 site: http://movie.douban.com/subject/3077668/

枪火  score:8.5
 site: http://movie.douban.com/subject/1300741/

时时刻刻  score:8.5
 site: http://movie.douban.com/subject/1305666/

岁月的童话  score:8.5
 site: http://movie.douban.com/subject/1291588/

朗读者  score:8.4
 site: http://movie.douban.com/subject/2213597/

香水  score:8.4
 site: http://movie.douban.com/subject/1760622/

发条橙  score:8.4
 site: http://movie.douban.com/subject/1292233/

罪恶之城  score:8.4
 site: http://movie.douban.com/subject/1309027/

曾经  score:8.4
 site: http://movie.douban.com/subject/2053515/

英国病人  score:8.4
 site: http://movie.douban.com/subject/1291853/

暖暖内含光  score:8.4
 site: http://movie.douban.com/subject/1308777/

断背山  score:8.4
 site: http://movie.douban.com/subject/1418834/

变脸  score:8.4
 site: http://movie.douban.com/subject/1292659/

蝙蝠侠：黑暗骑士崛起  score:8.4
